Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (PDB)	Cross-reference (PDBsum)
P68135	ACTS_RABIT	reviewed	Actin, alpha skeletal muscle (Alpha-actin-1)	ACTA1 ACTA	Oryctolagus cuniculus (Rabbit)	377	1ALM;1ATN;1EQY;1ESV;1H1V;1IJJ;1J6Z;1KXP;1LCU;1LOT;1M8Q;1MA9;1MVW;1NWK;1O18;1O19;1O1A;1O1B;1O1C;1O1D;1O1E;1O1F;1O1G;1P8Z;1QZ5;1QZ6;1RDW;1RFQ;1RGI;1S22;1SQK;1T44;1UY5;1WUA;1Y64;1YXQ;2A3Z;2A40;2A41;2A42;2A5X;2ASM;2ASO;2ASP;2D1K;2FF3;2FF6;2FXU;2GWJ;2GWK;2HMP;2PAV;2PBD;2Q0R;2Q0U;2Q1N;2Q31;2Q36;2Q97;2V51;2V52;2VCP;2VYP;2W49;2W4U;2Y83;2YJE;2YJF;2ZWH;3B5U;3BUZ;3CJB;3CJC;3DAW;3FFK;3G37;3HBT;3J4K;3J8A;3J8I;3J8J;3J8K;3JBI;3JBJ;3JBK;3M1F;3M3N;3M6G;3MFP;3MN5;3SJH;3TPQ;3TU5;3U8X;3U9Z;3UE5;4A7F;4A7H;4A7L;4A7N;4B1V;4B1W;4B1X;4B1Y;4B1Z;4EAH;4GY2;4H03;4H0T;4H0V;4H0X;4H0Y;4K41;4K42;4K43;4PKG;4PKH;4PKI;4PL8;4V0U;4WYB;4Z94;5H53;5JLF;5KG8;	1ALM;1ATN;1EQY;1ESV;1H1V;1IJJ;1J6Z;1KXP;1LCU;1LOT;1M8Q;1MA9;1MVW;1NWK;1O18;1O19;1O1A;1O1B;1O1C;1O1D;1O1E;1O1F;1O1G;1P8Z;1QZ5;1QZ6;1RDW;1RFQ;1RGI;1S22;1SQK;1T44;1UY5;1WUA;1Y64;1YXQ;2A3Z;2A40;2A41;2A42;2A5X;2ASM;2ASO;2ASP;2D1K;2FF3;2FF6;2FXU;2GWJ;2GWK;2HMP;2PAV;2PBD;2Q0R;2Q0U;2Q1N;2Q31;2Q36;2Q97;2V51;2V52;2VCP;2VYP;2W49;2W4U;2Y83;2YJE;2YJF;2ZWH;3B5U;3BUZ;3CJB;3CJC;3DAW;3FFK;3G37;3HBT;3J4K;3J8A;3J8I;3J8J;3J8K;3JBI;3JBJ;3JBK;3M1F;3M3N;3M6G;3MFP;3MN5;3SJH;3TPQ;3TU5;3U8X;3U9Z;3UE5;4A7F;4A7H;4A7L;4A7N;4B1V;4B1W;4B1X;4B1Y;4B1Z;4EAH;4GY2;4H03;4H0T;4H0V;4H0X;4H0Y;4K41;4K42;4K43;4PKG;4PKH;4PKI;4PL8;4V0U;4WYB;4Z94;5H53;5JLF;5KG8;
P00639	DNAS1_BOVIN	reviewed	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)	DNASE1 DNL1	Bos taurus (Bovine)	282	1ATN;1DNK;2A3Z;2A40;2A41;2A42;2D1K;2DNJ;3CJC;3DNI;3W3D;	1ATN;1DNK;2A3Z;2A40;2A41;2A42;2D1K;2DNJ;3CJC;3DNI;3W3D;
P00761	TRYP_PIG	reviewed	Trypsin (EC 3.4.21.4)		Sus scrofa (Pig)	231	1AKS;1AN1;1AVW;1AVX;1C9P;1D3O;1DF2;1EJA;1EPT;1EWU;1FMG;1FN6;1FNI;1H9H;1H9I;1LDT;1LT2;1MCT;1QQU;1S5S;1S6F;1S6H;1S81;1S82;1S83;1S84;1S85;1TFX;1TX6;1UHB;1V6D;1YF4;1Z7K;2A31;2A32;3MYW;4AN7;4DOQ;	1AKS;1AN1;1AVW;1AVX;1C9P;1D3O;1DF2;1EJA;1EPT;1EWU;1FMG;1FN6;1FNI;1H9H;1H9I;1LDT;1LT2;1MCT;1QQU;1S5S;1S6F;1S6H;1S81;1S82;1S83;1S84;1S85;1TFX;1TX6;1UHB;1V6D;1YF4;1Z7K;2A31;2A32;3MYW;4AN7;4DOQ;
P01070	ITRA_SOYBN	reviewed	Trypsin inhibitor A (Kunitz-type trypsin inhibitor A)	KTI3	Glycine max (Soybean) (Glycine hispida)	216	1AVU;1AVW;1AVX;1BA7;	1AVU;1AVW;1AVX;1BA7;
P03406	NEF_HV1BR	reviewed	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]	nef	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	206	1AVV;1AVZ;1EFN;4D8D;	1AVV;1AVZ;1EFN;4D8D;
P06241	FYN_HUMAN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	1A0N;1AOT;1AOU;1AVZ;1AZG;1EFN;1FYN;1G83;1M27;1NYF;1NYG;1SHF;1ZBJ;2DQ7;2MQI;2MRJ;2MRK;3H0F;3H0H;3H0I;3UA6;3UA7;4D8D;4EIK;4U17;4U1P;4ZNX;	1A0N;1AOT;1AOU;1AVZ;1AZG;1EFN;1FYN;1G83;1M27;1NYF;1NYG;1SHF;1ZBJ;2DQ7;2MQI;2MRJ;2MRK;3H0F;3H0H;3H0I;3UA6;3UA7;4D8D;4EIK;4U17;4U1P;4ZNX;
P05798	RNSA_STRAU	reviewed	Guanyl-specific ribonuclease Sa (RNase Sa) (EC 3.1.27.3)	rnaSA	Streptomyces aureofaciens	96	1AY7;1BOX;1C54;1GMP;1GMQ;1GMR;1I70;1I8V;1LNI;1RGE;1RGF;1RGG;1RGH;1RSN;1SAR;1T2H;1T2I;1UCI;1UCJ;1UCK;1UCL;1YNV;1ZGX;2SAR;3A5E;4GHO;4J5G;4J5K;	1AY7;1BOX;1C54;1GMP;1GMQ;1GMR;1I70;1I8V;1LNI;1RGE;1RGF;1RGG;1RGH;1RSN;1SAR;1T2H;1T2I;1UCI;1UCJ;1UCK;1UCL;1YNV;1ZGX;2SAR;3A5E;4GHO;4J5G;4J5K;
P11540	BARS_BACAM	reviewed	Barstar (Ribonuclease inhibitor)		Bacillus amyloliquefaciens (Bacillus velezensis)	90	1A19;1AB7;1AY7;1B27;1B2S;1B2U;1B3S;1BGS;1BRS;1BTA;1BTB;1L1K;1X1U;1X1W;1X1X;1X1Y;2HXX;2ZA4;3DA7;	1A19;1AB7;1AY7;1B27;1B2S;1B2U;1B3S;1BGS;1BRS;1BTA;1BTB;1L1K;1X1U;1X1W;1X1X;1X1Y;2HXX;2ZA4;3DA7;
P62942	FKB1A_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP1A FKBP1 FKBP12	Homo sapiens (Human)	108	1A7X;1B6C;1BKF;1BL4;1D6O;1D7H;1D7I;1D7J;1EYM;1F40;1FAP;1FKB;1FKD;1FKF;1FKG;1FKH;1FKI;1FKJ;1FKR;1FKS;1FKT;1J4H;1J4I;1J4R;1NSG;1QPF;1QPL;2DG3;2DG4;2DG9;2FAP;2FKE;2PPN;2PPO;2PPP;2RSE;3FAP;3H9R;3MDY;4DH0;4FAP;4IPX;4N19;4ODP;4ODQ;4ODR;	1A7X;1B6C;1BKF;1BL4;1D6O;1D7H;1D7I;1D7J;1EYM;1F40;1FAP;1FKB;1FKD;1FKF;1FKG;1FKH;1FKI;1FKJ;1FKR;1FKS;1FKT;1J4H;1J4I;1J4R;1NSG;1QPF;1QPL;2DG3;2DG4;2DG9;2FAP;2FKE;2PPN;2PPO;2PPP;2RSE;3FAP;3H9R;3MDY;4DH0;4FAP;4IPX;4N19;4ODP;4ODQ;4ODR;
P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503	1B6C;1IAS;1PY5;1RW8;1TBI;1VJY;2L5S;2PJY;2WOT;2WOU;2X7O;3FAA;3GXL;3HMM;3KCF;3KFD;3TZM;4X0M;4X2F;4X2G;4X2J;4X2K;4X2N;5E8S;5E8T;5E8U;5E8W;5E8X;5E8Z;5E90;5FRI;	1B6C;1IAS;1PY5;1RW8;1TBI;1VJY;2L5S;2PJY;2WOT;2WOU;2X7O;3FAA;3GXL;3HMM;3KCF;3KFD;3TZM;4X0M;4X2F;4X2G;4X2J;4X2K;4X2N;5E8S;5E8T;5E8U;5E8W;5E8X;5E8Z;5E90;5FRI;
P15692	VEGFA_HUMAN	reviewed	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232	1BJ1;1CZ8;1FLT;1KAT;1KMX;1MJV;1MKG;1MKK;1QTY;1TZH;1TZI;1VGH;1VPF;1VPP;2FJG;2FJH;2QR0;2VGH;2VPF;3BDY;3P9W;3QTK;3S1B;3S1K;3V2A;4DEQ;4GLN;4GLS;4KZN;4QAF;4WPB;4ZFF;5DN2;5FV1;5FV2;5HHC;5HHD;5T89;	1BJ1;1CZ8;1FLT;1KAT;1KMX;1MJV;1MKG;1MKK;1QTY;1TZH;1TZI;1VGH;1VPF;1VPP;2FJG;2FJH;2QR0;2VGH;2VPF;3BDY;3P9W;3QTK;3S1B;3S1K;3V2A;4DEQ;4GLN;4GLS;4KZN;4QAF;4WPB;4ZFF;5DN2;5FV1;5FV2;5HHC;5HHD;5T89;
P00648	RNBR_BACAM	reviewed	Ribonuclease (EC 3.1.27.-) (Barnase) (RNase Ba)		Bacillus amyloliquefaciens (Bacillus velezensis)	157	1A2P;1B20;1B21;1B27;1B2S;1B2U;1B2X;1B2Z;1B3S;1BAN;1BAO;1BGS;1BNE;1BNF;1BNG;1BNI;1BNJ;1BNR;1BNS;1BRG;1BRH;1BRI;1BRJ;1BRK;1BRN;1BRS;1BSA;1BSB;1BSC;1BSD;1BSE;1FW7;1RNB;1X1U;1X1W;1X1X;1X1Y;1YVS;2C4B;2F4Y;2F56;2F5M;2F5W;2KF3;2KF4;2KF5;2KF6;2ZA4;3DA7;3KCH;3Q3F;	1A2P;1B20;1B21;1B27;1B2S;1B2U;1B2X;1B2Z;1B3S;1BAN;1BAO;1BGS;1BNE;1BNF;1BNG;1BNI;1BNJ;1BNR;1BNS;1BRG;1BRH;1BRI;1BRJ;1BRK;1BRN;1BRS;1BSA;1BSB;1BSC;1BSD;1BSE;1FW7;1RNB;1X1U;1X1W;1X1X;1X1Y;1YVS;2C4B;2F4Y;2F56;2F5M;2F5W;2KF3;2KF4;2KF5;2KF6;2ZA4;3DA7;3KCH;3Q3F;
